,year_id,age,waa_pg_1yr,waa_pg_2yr,waa_pg_3yr,team_gp_3yr,inn_pg_1yr,runs_bat_pg_1yr,runs_bat_pg_2yr,runs_bat_pg_3yr,runs_br_pg_1yr,runs_br_pg_3yr,runs_dp_pg_2yr,runs_defense_pg_1yr,runs_defense_pg_2yr,runs_defense_pg_3yr,runs_position_pg_1yr,runs_position_pg_3yr,opprpg_3yr,inn_per_team_gp_1yr,g_c_share_1yr,g_c_share_2yr,g_1b_share_2yr,g_1b_share_3yr,g_2b_share_2yr,g_3b_share_2yr,g_3b_share_3yr,g_ss_share_2yr,g_cf_share_1yr,g_dh_share_1yr,g_dh_share_2yr,g_dh_share_3yr,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6
2021,-1.6737997515745724,0.1704756938469135,1.036870854850829,0.03384873879624503,-0.20462364196699723,0.2512709985080668,-1.283725800186959,0.8018210197961426,-0.05008652136009951,0.7025366604705392,-0.13702199719739458,0.652183782292372,0.9489130265483183,0.711610462379014,0.06434232730371064,-1.2684862152999483,-0.9574509932114305,-0.7019902846410124,-0.9894667978280162,-0.18190461330190294,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,-0.3849858970641233,0.19026107123836347,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,5.831705037535324,-1.7947160757956355,2.3501148009765713,0.9611680150306054,1.4288591422186494,-1.6515733102349466,-0.18432063038973232
2334,-1.8707563784436887,0.7503173630499015,-0.5839883404496414,0.1235133249948098,0.4332278564766816,0.2512709985080668,-1.3650443479264418,-0.24120777936839174,0.016080487675394627,0.1969663792960943,-1.359852829353065,-0.21093584265389287,-0.015866659261963338,-0.26771857002540883,0.22496080680540145,0.08190735033508996,0.2413812143749732,1.423088353508544,0.05446897999339781,-1.568969124492812,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,1.7901528175020007,-0.339387602690578,-0.2938992276175251,-0.2731688238521747,0.10773853264501453,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,2.8911873198225404,-1.163036140231037,-1.5443697371511593,-1.4113295970461364,-0.9180917058795222,1.0199071793718508,-1.1508559260772844
167,0.9522886066803108,-0.6992868099575685,-1.2285147196758062,0.7044350277095163,-0.32891857334553154,0.2512709985080668,0.4876753636263101,-0.04397919103557513,1.1452272336109564,-0.537878457699074,-0.3451629498247763,-0.8371254902723406,-2.4871030138132406,-2.6824747571151253,-0.34206921768664855,0.6018364979754006,0.4347290207999729,0.468820201172236,0.34197412057160564,0.859420834008547,-0.2875737211292126,-0.29067825193078245,-0.37617394274488497,-0.42844468727528173,-0.3903655788379417,2.727800506644101,2.8072743786081586,-0.3849858970641233,-0.41146577267147366,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,-2.651505572105903,1.9671148046383693,-0.6228550642227688,1.7715943841952857,-1.7040786307074804,-0.365018696973214,0.3192045656980507
1070,-1.8707563784436887,0.4603965284484075,-1.4003096705334062,-0.607957416919905,0.8177658733129443,0.2512709985080668,0.5232182706798595,-0.7742536889330895,-0.6439196579384657,0.32078717464074213,-0.2380271249360273,1.2326357184162444,-0.8399790424891602,-1.2203090679480757,0.19555685938552406,0.48215264205994124,0.5498189615618257,0.49074849839748413,0.05446897999339781,0.548469785998766,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,2.7877176697101738,2.7619660822800767,-0.3849858970641233,-0.41146577267147366,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,-1.6809222062316194,-2.0489897078042336,-0.8107853770676646,1.1331128554902987,-1.5376792526384515,0.19350533075052545,0.04385003559873312
4349,0.5583753529420783,0.4603965284484075,-0.9932695691146585,-0.4581381083349707,-0.41300876610048315,0.15525475284799098,0.8347740432132407,-1.3590652376469419,-0.6463858044622235,-0.015491957714825385,-0.49288575186214245,-0.8143069434102158,-0.8833951034208384,0.44229972957036123,0.32233846808619443,-0.7744067075463872,0.29862218513343086,0.4175647232174153,2.1777269282190357,0.7653977306606828,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,2.7673636440401705,2.8072743786081586,-0.3849858970641233,-0.41146577267147366,0.274962836516462,-0.2372978990432642,-0.2694882581276088,-3.7839960578772227,3.9785605836135143,-0.7605526956355677,-0.40734883536546196,-1.8215731858243311,0.24283494028413596,-0.3502312162909518
204,0.23011430816021794,-0.6992868099575685,-2.2278654258386337,-0.2529607284297554,0.17591945941633774,-4.453525038835647,-0.2659718975644797,-1.6812982882022174,-0.015004798224894797,0.3943357270937779,-0.13635628536520775,0.3607812111913947,-0.3563838495084382,-2.215563032942002,-1.104550611717593,-0.804892195824998,0.4256718625427742,0.6382032331590602,2.0689887842277064,-0.7733882828125593,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,2.7660020998146293,-0.4078643604803754,-0.40961466068564756,-0.3849858970641233,-0.41146577267147366,-0.3062567485356641,-0.2300541291690559,-0.1951785463715178,-2.2668141779282975,3.753810739900873,-1.9357506610893664,-0.0671555836153335,0.16166209475306323,1.2278570704663139,3.3167786414768368
5277,1.149245233549427,-1.2791284791605566,2.4028445933582168,1.5528373870303516,-0.9091484722289473,0.2512709985080668,0.7342211041804125,1.0576977597415784,0.7718248333374321,-1.2516269221499845,0.4415129607360473,-0.49842305767145406,-1.3474992400972519,2.3370854983927822,1.1808107772300123,0.2820454759813858,1.2966350553677262,1.239557413141049,0.5614342287411049,-0.6506671837375165,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,2.745892152870438,-0.41146577267147366,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,1.1422473685990482,1.14601347017315,-2.490140533313906,3.1330293041718456,-0.6737503833176259,0.8986931960056722,-2.3025806754883216
3465,-1.411190915749084,-0.1194451407545805,0.33790150227985555,-0.32727604616005307,1.0314265702093075,0.2512709985080668,1.1276656141607215,-0.168884228609655,-1.037126317781164,0.1601066856181539,0.5138101353658918,0.12085052500727206,-0.8247187209695035,0.5194327985505561,1.239908959833495,1.3225509900845636,0.5541353342098383,0.4838564774772944,-0.8373821827541713,1.32106877301947,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,2.7877176697101738,2.8072743786081586,-0.3849858970641233,-0.41146577267147366,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,-0.752447453445049,-2.7055507692480796,-0.9613124352090533,-0.7313574459851485,-0.8778109523477963,-1.4262812783492127,-0.04029930660595039
1468,-0.16379894557801455,2.7797632052603594,0.0339582750970654,-0.45503497435433515,0.04674091401902731,0.2512709985080668,-0.41951161769580914,0.8668171050712788,0.29579331787920515,0.7047119976964563,-0.6144882062127424,0.5567214994115839,0.27678337793437924,-0.09562745728229355,-0.14577824096243538,-0.16980941516374135,-1.8640143424612783,-2.1275455647851587,-0.09027550038912854,-2.1824290013834404,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,-0.3849858970641233,-0.41146577267147366,6.0041273177445635,6.696965444175819,7.3844120527498225,0.4730162146372742,-0.0556218955908196,0.09525854189974337,-1.1584905805126038,-1.5606564241206886,3.4585447848483115,0.2704285076622611
841,0.6896797708548225,-0.4093659753560745,0.19591265016825768,-0.650063497110447,0.062369798329037524,0.2512709985080668,0.3803990438813246,-0.47085472348708546,-1.3446405376641415,-0.8837675854953602,2.0192124632591804,0.48060124770271945,-0.035707661644732304,0.19364250430869953,0.16642704783388654,1.0509425849875997,1.277527416886153,1.3396117113127657,0.7889040109149811,1.0913045003725814,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,2.745892152870438,-0.41146577267147366,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,-3.396227393846476,0.43083798957587527,-2.622395370537075,0.18957857566475014,-0.2182964077721556,-1.7308652869978711,-3.114844030873945
