,year_id,age,inn_pg_1yr,runs_bat_pg_1yr,runs_bat_pg_2yr,runs_bat_pg_3yr,runs_br_pg_1yr,runs_br_pg_2yr,runs_dp_pg_2yr,runs_defense_pg_1yr,runs_defense_pg_2yr,runs_defense_pg_3yr,runs_position_pg_1yr,runs_position_pg_3yr,percent_team_gp_1yr,inn_per_team_gp_1yr,g_3b_share_2yr,g_3b_share_3yr,g_cof_share_2yr,g_cof_share_3yr,pc_0,pc_1,pc_2,pc_3,pc_4
1961,0.3011856117373072,-0.09988861931506092,-0.10381807417845113,-0.7685253383087203,-0.21421172252214699,0.1558944185105967,-0.7276375688202241,-0.3167707773222263,-0.155497628977066,1.3144109004513507,1.1417661036910087,0.4328158551669549,-0.7920353587484484,-0.8365834263244569,0.6156055572298319,0.4211443402207078,-0.4026939464692888,-0.40643909864810596,1.8867195530392589,1.833479806500148,0.3174757909376861,0.9386616328529821,0.31451929801992395,-0.11350016747428048,-0.16805476984707432
198,0.3011856117373072,-0.40525282131512874,-0.9141929803029871,-0.9043197485082005,-1.701468515778459,-0.0030919246578247272,-0.7847249225460206,-0.15652925842128287,-0.9015188520106396,0.22036169403271766,-2.2367573938260064,-1.1243048594631513,0.6233895669298197,0.6370738722030252,-0.4730638716181844,-0.7291387586360538,-0.2449824505782068,-0.40643909864810596,-0.6297135792156676,-0.6336012533620292,-0.0883146808633862,-1.868062852041399,-0.48819165397846614,4.435615592951155,0.17240785497139893
5610,1.0860631105483438,0.2054755826850069,0.2747542144269724,1.5106637636300588,1.3577665087742754,0.5114524555126695,0.3763600588100578,-0.2929374594087108,0.19331710589289153,1.0543024556033447,1.033348384564378,0.9978228654512056,-0.503078523484436,-1.1956829077062212,-0.30116869864218204,-0.15345717019412558,0.31136178339340204,-0.12172527397420346,-0.5983928331638564,-0.6336012533620292,-1.5437341719621658,2.435370520501548,-0.4166706224617173,-0.05705225105477323,-0.6823207953279096
4122,0.5628114446743194,0.2054755826850069,0.3088030000724536,0.1703820892700653,1.1126013843285774,-1.0383622822434229,-2.2495961191500546,-1.6563821254763893,-0.31032716750628186,-0.5745189278230796,-0.03681212920964817,-0.744365094063321,1.3567661802155622,1.3419122030213588,-0.1374590100936081,-0.009286879254392566,-0.4026939464692888,-0.40643909864810596,-0.6297135792156676,-0.6336012533620292,3.077502755650254,-0.36601616412212395,-2.2512024447631123,-0.8819926231170172,3.6620489683069777
997,1.5439083181881152,-1.0159812253152645,0.3170636713964168,-0.6996805703252448,-1.122951763430691,-0.05200870057928908,-0.6793629694033184,-1.0151034135657717,0.7245277738506407,-1.0314959167201663,-0.7533114177852632,-0.7414978645743052,0.7018173455700221,1.2893975095716634,0.5583071662378318,0.5523738205128168,-0.4026939464692888,-0.40643909864810596,-0.6297135792156676,-0.6336012533620292,-0.07328436820396521,-2.3156219629949106,-1.9001821399806202,0.2432706285872318,-1.4865585221525772
4933,0.5628114446743194,-0.7106170233151966,0.4835055909464896,0.5028103168806509,0.43801694302772776,-0.25317762730598664,-0.4329296615438995,0.6680794841863105,-0.06302727343201285,0.06403230801417817,1.8269139089203954,-0.5708087269938125,-0.960514589935679,-0.8997747926096286,0.7875007302058353,0.807812273920915,-0.4026939464692888,-0.40643909864810596,1.9042948093848924,1.7922783591136557,-2.4957139513084554,0.15797063995338664,0.7343425695245799,0.18024867762326804,0.3603153747304839
1621,0.8898437358455846,0.5108397846850747,0.5930438830224016,-1.3847483941786112,-1.1786992965338576,-0.5852291270804058,-1.0626566726894926,-0.7441177230569808,-0.10464145580469662,1.8606992659712875,0.7525181310068972,1.1126438716549514,0.511283586189692,-0.3533619064266472,1.1309351855305607,1.135099396087977,1.1086301221437738,0.7336245345819297,0.5031151796109402,-0.562378383951413,0.3979860122251843,1.3555518421729644,-0.8259129802143883,-0.3993978961800337,-0.8015949370583104
4640,-0.22206605413671723,-0.09988861931506092,0.39213089524888045,0.27497028353234687,-0.700102229074369,-0.7571530427126338,0.23502316295133016,1.215576147937528,-0.14956083540564388,-0.2563475501085996,-0.8443452113248268,-1.88108461689592,0.8099117615468683,0.8024734134611,1.0156266222919996,0.9525192495946083,-0.4026939464692888,-0.3853913233974881,-0.6297135792156676,-0.6168361298806344,-3.0260033388345753,-2.001451917600716,-0.9805755764742474,4.321427017266753,0.26311218771688477
3494,-0.8107241782449947,-1.932073831315468,0.7379020309107627,0.6526064375132897,0.7270993023871826,-0.8809964781020351,2.120540777161885,1.2328677703479742,1.2447733762890563,-0.6481599996444933,0.2693085362256701,0.45897671572211834,0.8059208587341145,1.004617098961737,-1.7336284734422032,-1.1579297353929876,-0.4026939464692888,-0.3805082395393443,-0.6297135792156676,-0.6336012533620292,-0.9353967386562574,-2.224330931101573,-0.5862901285927171,3.6535269430853763,-0.6237629282054491
1174,1.4130954017196091,-0.7106170233151966,-0.06560207258967768,-0.6041465032830191,-0.8134290732169596,-1.0347496604770914,-0.02577319354507505,0.05146699089595089,0.733556709580597,0.8239033669267911,0.17202371328986102,1.1215997866089826,1.2291172643816581,1.1008331884233509,0.6729039482218331,0.48216874875160526,-0.4026939464692888,-0.40643909864810596,-0.6297135792156676,-0.6336012533620292,1.5675421569052899,-2.897123693276501,-1.7923218808078496,-2.9888000439276294,-3.292248406273357
3715,-1.1377564694162599,-0.7106170233151966,0.18731593573153837,0.024363936292794767,0.05353446466277905,0.14890359167510092,0.11036541328566905,-0.4034535450030542,0.2681758443839694,2.285950155357157,0.5247089815110705,2.5056198931762634,0.04635888138350318,-0.07601252515641156,-0.07197513467417856,-0.0038663634413916444,-0.4026939464692888,-0.40643909864810596,-0.6297135792156676,-0.5977425170268234,-2.047010210542185,-1.2322078690896374,4.5074533901155585,-1.1243011643406073,1.139112455681023
2125,0.6936243611428256,-0.7106170233151966,-0.015676584939644425,-0.08846501497577766,-0.6495060897314288,-0.8373972942706548,-0.652670911017069,0.2627439113109508,1.597010885789443,-0.09769298777942789,-0.681279559669399,0.9077325375067289,1.0610422882304462,1.211788203485667,-1.8482252554262053,-1.4797929874674607,-0.4026939464692888,-0.40643909864810596,-0.6297135792156676,-0.6336012533620292,1.4426081762430427,-2.738627993031382,-1.7475544048699136,-2.280700900198087,-2.3511464730143574
