,g_of,runs_bat_pg_1yr,runs_bat_pg_2yr,runs_bat_pg_3yr,runs_br_pg_1yr,runs_dp_pg_2yr,runs_dp_pg_3yr,runs_defense_pg_1yr,runs_defense_pg_2yr,runs_defense_pg_3yr,runs_position_pg_1yr,runs_position_pg_2yr,g_c_share_1yr,g_c_share_2yr,g_c_share_3yr,g_1b_share_2yr,g_cf_share_1yr,g_of_3yr,g_dh_share_1yr,g_cof_share_1yr,pc_0,pc_1,pc_2,pc_3,pc_4,runs_total_pg,is_train,opprpg_1yr,opprpg_2yr,opprpg_3yr,opprpg,waa_pg_1yr,waa_pg_2yr,waa_pg_3yr,year_id,age,waa_pg
1368,-0.7846319037019801,-0.6146420479334769,-0.6639047775188981,0.9552765968770499,0.2503798834020339,-0.08527448126680469,0.584078522643514,-0.514273701235765,-0.03285289021654425,0.8679664545897676,-1.3083490844288268,-1.3899334710823363,-0.20431818461548928,-0.2100245627259942,3.3207514669931517,1.9733908530845654,-0.41609778842444917,-0.818268540037492,0.631996445901428,-0.6101238970718588,4.03894390993235,-1.055395798722975,-0.6071576152664168,1.9222020817743921,3.574216501150764,0.0091791044776118,1.0,-0.4252114522771492,-0.7649451709705307,-0.35097490198919573,4.50306,-1.159977937666763,-0.8773169079143607,1.6149003242518685,1.5403932744044468,0.8251188225143797,0.001865671641791
1582,1.0117388671232865,0.7785298554476895,0.36084622771831554,0.5763558972152713,-0.4919001881565891,1.4799504337875176,-0.07396898327757978,1.9074609011473935,0.9448874157271872,-0.010455046413616123,-0.9495485966194185,-1.0116964844334035,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,-0.3366699828920467,1.019086934922599,-0.2895612312681439,1.8512571685802668,0.4432259179286764,3.210498274223108,-0.9444902193356262,0.6631292049446383,1.7670909158344,0.1358730158730159,1.0,-0.7843464815794595,-0.8972597969918694,-2.4714783005169636,3.87468,1.2831512472846078,0.4742021119413377,0.21559976416911641,-1.5223534213898156,0.5183438756821104,0.0146031746031746
206,-0.7846319037019801,-1.510759978062895,-1.382178595630659,-0.7372333111583693,-0.2588285301666829,0.8062357103208887,-0.3360034406255191,-2.139563344061533,-1.39574913907837,-1.05712128233884,1.3107996983725767,1.2856493041855956,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,-0.41609778842444917,-0.818268540037492,-0.2895612312681439,-0.6101238970718588,-0.3015535944268443,-2.8701042370742047,2.548018007537471,-2.6381526142811165,2.35333016473824,-0.2552272727272727,1.0,0.6628323327875856,1.355174900788304,1.1153908500983611,4.92028,-1.9480768279432616,-1.3397762178770685,-0.7559471761112031,0.8597828975612776,-0.7087559116469669,-0.0247727272727272
1697,-0.7846319037019801,-0.12983713508328198,-0.6887317853644161,-0.8942423198630547,1.0475089801630937,0.226187602387866,-0.8670432441110626,1.742933943145632,1.2770165444824533,2.2288437873692053,0.7248367910776679,0.6385699952243906,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,-0.41609778842444917,-0.818268540037492,-0.2895612312681439,-0.6101238970718588,3.19605779750109,-2.859666471319423,0.595263763163751,-0.06236560330681157,-2.226948849976169,0.0136507936507937,1.0,0.41703629498821987,0.07491998891528377,0.7070224733721588,4.67092,0.9594045642223168,0.014337292655619623,0.43597347564696737,0.7236608221926436,-0.7087559116469669,0.0004761904761904
662,-0.7846319037019801,1.5988231161728375,0.9806376921967387,1.0791584734689417,-0.4394006461600083,0.3315394955585069,0.05262244990234615,-0.6962089404788125,0.29477131650814936,-1.1196404500630512,-1.2939309530292875,-1.285649623249682,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,2.376043533981294,-0.41609778842444917,-0.818268540037492,0.33950205271282463,-0.6101238970718588,-2.736472237920623,-0.05440594572734832,-2.121987007317823,1.149806417842802,1.3573950012025486,0.071015625,1.0,1.154450741795127,0.9167380432449274,1.0715274626757492,5.01201,0.7138037386397582,0.5108184979542707,0.009038649991869919,0.7236608221926436,0.5183438756821104,0.00765625
933,1.3680438134026782,0.1404030928399359,0.9156453509485646,0.7771974923898937,0.05389873642613748,0.16496270721410008,-0.1456029511977303,-0.001173854421992682,-1.0512846616677927,0.5166602105670641,-0.7554258378828703,-0.7939590634929787,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,-0.37587473305868124,1.1794909843238768,-0.2895612312681439,1.8828133360886277,-0.5703281591248399,3.5514363777697597,0.4212832606199113,0.3472715461521809,0.4743166366301082,0.0706802721088435,1.0,1.5164297792485335,1.2351803866286464,2.30046973992249,5.29365,-0.08079470511813722,0.14940160523334392,0.8369633834162917,0.3833556337710589,-0.09520601798242825,0.0068027210884353
524,-0.7846319037019801,0.3952157532584391,-0.3383200687923099,0.28056461697782464,-0.04944323626177768,0.22942189193776108,0.6437612400388957,1.6082288974000316,1.6521970799504102,0.011002803525623994,0.4574279001756346,0.43826890161850574,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,-0.41609778842444917,-0.818268540037492,-0.2895612312681439,-0.6101238970718588,-1.3243613218304513,-2.2827370207652624,-3.078575167331289,-0.7578143011494375,-2.142563827016289,0.1993630573248405,1.0,0.37595617725016395,1.2351803866286464,2.30046973992249,4.97381,0.9431920280572594,0.557275623969932,0.1733274942945884,0.3833556337710589,-0.4019809648146976,0.0176433121019108
372,1.516504207685758,0.10824067098432283,0.42861948196041055,-0.55592796161069,0.1486667206923966,1.4519833417972696,1.1176016998933243,0.20209630328373315,-0.9968629639042649,-1.2163985984823595,0.5652638358905228,0.5391748305922209,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,2.721300530105452,1.398223778961983,-0.2895612312681439,-0.6101238970718588,-2.9920531109504283,3.486280221488663,2.082603239687013,0.11897073894600661,-0.812330552202945,0.1653503184713374,1.0,-0.9593319830982947,-0.5664973417464713,-1.243159559668794,3.8623,0.519620611960512,0.4482113615594979,-0.959506543488164,-0.09307163001915968,1.4386687161789184,0.0183439490445859
2190,-0.7846319037019801,0.5630877043773571,-0.31367719950632156,0.3839698872789437,0.22778757186930287,0.36268280946815606,-0.5368309098364171,-0.9905890104307882,-1.303201381333501,0.21401953902383739,0.7303992668401463,0.6966467510873715,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,-0.41609778842444917,-0.818268540037492,-0.2895612312681439,-0.6101238970718588,-1.5538666473124576,-1.9397060499269063,0.962192385893403,4.582553786957393,-0.33148958161906433,-0.0219875776397517,1.0,-0.22191753629138744,0.1423792315551729,0.4870340355221789,4.15524,0.2575503845266994,-0.7887959906375869,0.3981995482844064,1.2000880859828622,0.21156892884984108,-0.0027329192546583
364,-0.7846319037019801,-0.13407687761514311,0.5853168241627899,0.10123239242996963,-1.516216555030371,-0.9842804169807227,-1.0866762524460758,-0.12885826020773108,-0.4393102907395798,-0.38834412839742066,-2.158815340953476,-2.1797761194019794,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.09889689042990452,-0.41609778842444917,-0.818268540037492,6.622121347503648,-0.6101238970718588,-2.2321728727576886,0.2702522481870547,-4.511639069405488,1.217079395760054,2.804207664028038,-0.1462251655629137,1.0,-0.45567920626620684,-0.09500593750570693,-0.005176004642761727,4.13265,-1.0571661806438961,-0.5881465469049411,-0.9659459196728607,1.404271199035813,-0.7087559116469669,-0.0148344370860927
