,runs_total_pg
5416,-0.0070866141732283
2253,-0.0999999999999999
4487,0.1548695652173912
723,-0.0267999999999999
3970,-0.043625
4768,0.2135031847133756
533,0.1455333333333331
4492,0.254609375
3322,-0.173448275862069
2524,-0.0328767123287672
3352,-0.0322068965517241
766,0.2584076433121017
4958,0.2361764705882351
1785,0.0135507246376808
3275,-0.097516339869281
4399,0.1625477707006369
4484,-0.1317763157894735
3613,-0.0249019607843138
5201,-0.0935606060606061
4699,-0.0037391304347825
402,0.2581249999999997
0,0.3292
3281,0.115608108108108
2851,-0.1893043478260868
3210,0.0500800000000002
3656,-0.0613333333333332
3564,-0.2103174603174603
172,0.1251181102362203
1796,0.1418888888888887
2906,0.0163265306122446
297,-0.2107643312101907
4737,-0.2061111111111111
1358,0.0351639344262294
4877,0.0264843749999999
14,-0.0042405063291139
5093,-0.0220394736842104
391,0.3006410256410253
3065,0.178861788617886
4423,0.0965822784810126
3658,-0.1330281690140844
867,0.1316666666666667
1075,0.2059459459459459
2728,-0.0439436619718309
581,-0.0983687943262412
4560,0.1844444444444443
3961,-0.206206896551724
4689,0.2185416666666665
4347,-0.044076923076923
108,0.0862251655629138
4787,0.2094117647058823
4864,0.0051612903225804
3900,0.1677639751552795
2564,-0.1358041958041957
1810,-0.0318064516129031
4372,-0.1175572519083966
859,0.1195555555555553
196,-0.2811111111111111
4285,0.1982068965517239
5200,0.0156164383561644
644,0.0112418300653595
435,-0.0559615384615384
4539,-0.05
2757,0.1047552447552448
2238,-0.1499275362318838
5044,0.0359574468085107
3954,0.0978095238095238
1540,0.0271974522292995
1066,0.2092913385826773
2543,0.108205128205128
3629,0.3263265306122446
792,-0.0244444444444444
4017,0.0849324324324323
4339,-0.0846896551724136
767,0.0007142857142855
4102,0.0180909090909092
5078,-0.1055263157894736
3603,0.1228387096774192
4503,0.2779562043795618
81,-0.105128205128205
3408,0.1079054054054055
697,0.1042156862745097
409,0.33475
3429,0.0039370078740156
2455,0.009142857142857
2104,-0.0046621621621623
2799,-0.0916993464052286
3235,-0.0909219858156027
3271,-0.0321830985915493
3205,0.2840000000000001
4903,0.2378749999999999
5338,0.0281132075471698
3477,-0.017008547008547
2106,-0.0469999999999999
3736,0.2965048543689321
3127,0.1234821428571425
1853,0.128359375
322,-0.1055263157894737
2337,0.2501886792452831
3602,-0.0076315789473683
3203,0.2137121212121213
4650,0.3220270270270269
932,-0.0610791366906472
3171,0.0120192307692307
2632,0.2740136054421765
4260,0.3282608695652171
1549,0.0177857142857142
1607,0.2105109489051093
3760,0.0344295302013421
1396,0.0292307692307693
1234,-0.0563888888888888
2114,0.1935849056603773
3039,0.127913669064748
3090,-0.1820634920634919
4567,0.1259558823529412
2545,-0.1326415094339623
220,-0.0066025641025642
2320,-0.0525609756097558
3009,0.2702173913043478
2750,0.4360256410256409
1112,0.0651034482758622
3686,-0.1687962962962963
4149,0.1247058823529411
123,-0.0982758620689654
1341,0.3492156862745096
4593,0.2914556962025314
2656,0.3477707006369426
1251,0.1368531468531466
4957,0.1095364238410596
1855,0.0256074766355141
1807,0.07625
1006,-0.2977884615384613
5575,0.0739215686274509
1411,-0.1444881889763779
848,0.094437086092715
3024,0.2859493670886073
1588,0.0936477987421381
3092,-0.1210791366906474
1845,0.0692857142857142
4602,0.0047407407407404
965,0.1045070422535209
404,0.3143209876543209
150,0.3542580645161289
4887,0.0025
4979,-0.1067701863354037
1034,-0.0199328859060403
2707,0.1922499999999999
4046,0.047516339869281
4542,-0.1156097560975609
1376,0.0652173913043477
3006,-0.0181060606060607
2904,0.0943971631205672
4193,0.23825
1253,0.0107333333333333
4663,0.1113131313131313
2426,-0.0021621621621618
4058,-0.0641975308641976
942,-0.2143312101910826
4656,0.0253703703703703
1697,-0.0582119205298013
1445,0.0861627906976742
3395,0.0555974842767294
4394,-0.0022727272727272
2227,0.157109375
4107,0.027295081967213
3264,0.2585401459854012
5664,0.0308849557522122
2499,0.1652040816326528
3349,0.0697435897435898
26,0.1729530201342282
21,-0.0083647798742137
863,0.1332450331125825
3347,0.1828025477707006
4645,0.43012987012987
2226,-0.0349685534591193
3132,0.3618518518518518
1419,0.1429629629629626
468,-0.0462820512820512
925,0.2600649350649349
5581,0.1118627450980392
422,0.1198484848484851
915,0.1836363636363635
2505,0.0718589743589744
4323,0.269578947368421
3668,-0.011230769230769
3393,0.1343312101910826
4996,0.0139622641509434
39,-0.1908256880733944
2388,0.0219847328244276
215,0.0633121019108282
2250,-0.0503539823008849
4234,0.1527333333333335
4366,0.2170322580645161
3912,-0.0566666666666665
3921,0.2452631578947365
5687,0.2062420382165603
333,0.2758641975308639
575,0.037074829931973
2164,0.0161940298507462
4223,0.3578807947019865
5690,0.0335714285714285
1255,0.0002189781021898
5421,0.1762790697674419
2498,0.1539855072463767
3093,0.05976
4282,-0.055597014925373
4401,0.1778082191780822
1878,-0.0311764705882352
1329,0.0360769230769233
2639,0.0665562913907285
3767,0.0739200000000002
4464,-0.1460714285714284
4963,-0.0374999999999999
1932,-0.0668644067796608
4776,-0.0382945736434106
2873,0.1512080536912752
3837,0.1655479452054793
5119,0.0411403508771931
5017,0.02648
4551,0.1484545454545455
4672,0.0792436974789914
3118,-0.0122222222222223
5619,-0.0305882352941175
5162,0.4095901639344261
