,player_id,year_id,name_common,opprpg,opprpg_1yr,opprpg_2yr,opprpg_3yr
79,alouje01,1968,Jesus Alou,3.4085,3.82357,4.08073,4.01644
80,alouje01,1969,Jesus Alou,4.06809,3.4085,3.82357,4.08073
81,alouje01,1970,Jesus Alou,4.51678,4.06809,3.4085,3.82357
82,alouje01,1971,Jesus Alou,3.89996,4.51678,4.06809,3.4085
83,alouma01,1968,Matty Alou,3.4085,3.82357,4.08073,4.01644
84,alouma01,1969,Matty Alou,4.06809,3.4085,3.82357,4.08073
85,alouma01,1970,Matty Alou,4.51678,4.06809,3.4085,3.82357
86,alouma01,1971,Matty Alou,3.899960000000001,4.51678,4.06809,3.4085
87,alouma01,1972,Matty Alou,3.783788285714286,3.899960000000001,4.51678,4.06809
88,alouma01,1973,Matty Alou,4.272759701492538,3.783788285714286,3.899960000000001,4.51678
89,aloumo01,1995,Moises Alou,4.63299,4.63541,4.50252,3.8623
90,aloumo01,1996,Moises Alou,4.69486,4.63299,4.63541,4.50252
91,aloumo01,1997,Moises Alou,4.61604,4.69486,4.63299,4.63541
92,aloumo01,1998,Moises Alou,4.60824,4.61604,4.69486,4.63299
93,aloumo01,2003,Moises Alou,4.62384,4.481,4.73359,5.05048
94,aloumo01,2004,Moises Alou,4.67092,4.62384,4.481,4.73359
95,aloumo01,2005,Moises Alou,4.55336,4.67092,4.62384,4.481
96,altuvjo01,2015,Jose Altuve,4.304,4.13265,4.29243,4.28947
97,altuvjo01,2016,Jose Altuve,4.50306,4.304,4.13265,4.29243
98,altuvjo01,2017,Jose Altuve,4.6954,4.50306,4.304,4.13265
99,altuvjo01,2018,Jose Altuve,4.57865,4.6954,4.50306,4.304
100,altuvjo01,2019,Jose Altuve,4.95606,4.57865,4.6954,4.50306
101,alvarpe01,2015,Pedro Alvarez,4.22222,3.99035,4.02801,4.28947
102,alvarpe01,2016,Pedro Alvarez,4.50306,4.22222,3.99035,4.02801
103,alvisma01,1966,Max Alvis,3.88302,3.93924,4.05437,4.0662
104,alvisma01,1967,Max Alvis,3.679650000000001,3.88302,3.93924,4.05437
105,alvisma01,1968,Max Alvis,3.40823,3.679650000000001,3.88302,3.93924
106,anderbr01,1995,Brady Anderson,5.10078,5.2498,4.73279,4.32337
107,anderbr01,1996,Brady Anderson,5.39802,5.10078,5.2498,4.73279
108,anderbr01,1997,Brady Anderson,4.96224,5.39802,5.10078,5.2498
109,anderbr01,1998,Brady Anderson,5.04133,4.96224,5.39802,5.10078
110,anderbr01,1999,Brady Anderson,5.29365,5.04133,4.96224,5.39802
111,anderbr01,2000,Brady Anderson,5.31786,5.29365,5.04133,4.96224
112,anderbr01,2001,Brady Anderson,4.88558,5.31786,5.29365,5.04133
113,anderga01,1998,Garret Anderson,5.04133,4.96224,5.39802,5.10078
114,anderga01,1999,Garret Anderson,5.29365,5.04133,4.96224,5.39802
115,anderga01,2000,Garret Anderson,5.31786,5.29365,5.04133,4.96224
116,anderga01,2001,Garret Anderson,4.88558,5.31786,5.29365,5.04133
117,anderga01,2002,Garret Anderson,4.83016,4.88558,5.31786,5.29365
118,anderga01,2003,Garret Anderson,4.90387,4.83016,4.88558,5.31786
119,anderga01,2004,Garret Anderson,5.012009999999999,4.90387,4.83016,4.88558
120,anderga01,2005,Garret Anderson,4.71718,5.012009999999999,4.90387,4.83016
121,anderga01,2006,Garret Anderson,4.92028,4.71718,5.012009999999999,4.90387
122,anderga01,2007,Garret Anderson,4.85895,4.92028,4.71718,5.012009999999999
123,anderga01,2008,Garret Anderson,4.704,4.85895,4.92028,4.71718
124,anderga01,2009,Garret Anderson,4.50898,4.704,4.85895,4.92028
125,anderti01,2019,Tim Anderson,4.95606,4.57865,4.6954,4.50306
126,andremi01,1970,Mike Andrews,4.16762,4.07777,3.40823,3.67965
