waa_pg,player_id,year_id,name_common,age,g,team_gp,pa_pg,inn_pg,runs_bat_pg,runs_br_pg,runs_dp_pg,runs_defense_pg,runs_position_pg,opprpg,percent_team_gp,pa_per_team_gp,inn_per_team_gp,g_c_share,g_1b_share,g_2b_share,g_3b_share,g_ss_share,g_cf_share,g_dh_share,g_cof_share
-0.015816993464052288,johnsch05,2014,Chris Johnson,29.0,153,162.0,3.9934640522875817,8.684313725490197,-0.08176470588235293,0.004509803921568627,-0.024052287581699347,-0.0457516339869281,0.019281045751633988,3.99035,0.9444444444444444,3.771604938271605,8.201851851851854,0.0,0.006578947368421053,0.0,0.986842105263158,0.0,0.0,0.006578947368421053,0.0
0.012622950819672131,johnscl01,1975,Cliff Johnson,27.0,122,162.0,3.221311475409836,6.040983606557377,0.19229508196721312,-0.01,-0.007622950819672131,-0.05655737704918033,0.0029508196721311475,4.11785,0.7530864197530864,2.425925925925926,4.549382716049383,0.4659090909090909,0.5227272727272727,0.0,0.0,0.0,0.0,0.0,0.011363636363636364
-0.003425925925925926,johnscl01,1976,Cliff Johnson,28.0,108,162.0,3.5555555555555554,7.218518518518518,0.09703703703703705,-0.010462962962962962,-0.009537037037037037,-0.12962962962962962,0.024907407407407406,3.97501,0.6666666666666666,2.3703703703703702,4.812345679012346,0.6470588235294118,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.19607843137254902
0.01850467289719626,johnscl01,1977,Cliff Johnson,29.0,107,162.0,3.1682242990654204,6.803738317757009,0.25037383177570094,-0.0194392523364486,-0.00028037383177570094,-0.012149532710280372,-0.03822429906542056,4.4637880373831775,0.6604938271604939,2.0925925925925926,4.493827160493828,0.1530612244897959,0.21428571428571427,0.0,0.0,0.0,0.0,0.25510204081632654,0.37755102040816324
0.0021000000000000003,johnscl01,1979,Cliff Johnson,31.0,100,160.72,3.5,7.82,0.0993,-0.006,-0.0034000000000000002,0.0,-0.0736,4.70696,0.6222000995520159,2.177700348432056,4.865604778496764,0.05617977528089888,0.0,0.0,0.0,0.0,0.0,0.9438202247191011,0.0
-0.013442622950819673,johnscl01,1980,Cliff Johnson,32.0,122,161.11475409836066,3.5245901639344264,6.688524590163935,-0.007540983606557377,0.0022950819672131143,-0.00459016393442623,-0.05983606557377049,-0.05377049180327869,4.229173442622951,0.7572242572242572,2.6689051689051686,5.0647130647130645,0.010526315789473684,0.48421052631578937,0.0,0.0,0.0,0.0,0.47368421052631576,0.03157894736842105
0.006190476190476191,johnscl01,1981,Cliff Johnson,33.0,84,109.0,3.6904761904761907,7.880952380952381,0.155,-0.004523809523809524,0.002261904761904762,-0.015476190476190477,-0.08011904761904762,4.07185,0.7706422018348624,2.8440366972477062,6.073394495412844,0.0,0.11688311688311688,0.0,0.0,0.0,0.0,0.8831168831168832,0.0
0.0023239436619718313,johnscl01,1983,Cliff Johnson,35.0,142,162.0,3.408450704225352,8.570422535211268,0.12049295774647886,-0.010140845070422535,-0.004788732394366197,-0.0028169014084507044,-0.08619718309859155,4.49768,0.8765432098765432,2.9876543209876543,7.512345679012346,0.0,0.044117647058823525,0.0,0.0,0.0,0.0,0.9558823529411764,0.0
0.011968503937007874,johnscl01,1984,Cliff Johnson,36.0,127,163.0,3.267716535433071,8.007874015748031,0.20606299212598428,-0.0042519685039370085,-0.006535433070866141,0.0,-0.08078740157480314,4.43204,0.7791411042944786,2.5460122699386503,6.2392638036809815,0.0,0.017699115044247787,0.0,0.0,0.0,0.0,0.9823008849557523,0.0
-0.00830188679245283,johnscl01,1985,Cliff Johnson,37.0,106,161.0,3.9339622641509435,8.933962264150944,0.0056603773584905665,0.0043396226415094346,0.0013207547169811322,-0.00660377358490566,-0.08981132075471698,4.58322,0.6583850931677019,2.590062111801242,5.8819875776397526,0.0,0.02830188679245283,0.0,0.0,0.0,0.0,0.9716981132075472,0.0
