,year_id,age,waa_pg_1yr,waa_pg_2yr,waa_pg_3yr,g_2yr,g_3yr,team_gp_1yr,team_gp_3yr,pa_pg_1yr,pa_pg_3yr,inn_pg_1yr,inn_pg_2yr,runs_bat_pg_1yr,runs_bat_pg_2yr,runs_bat_pg_3yr,runs_br_pg_1yr,runs_dp_pg_2yr,runs_dp_pg_3yr,runs_defense_pg_1yr,runs_defense_pg_2yr,runs_position_pg_1yr,runs_position_pg_2yr,opprpg_2yr,pa_per_team_gp_2yr,inn_per_team_gp_1yr,inn_per_team_gp_2yr,g_c_share_1yr,g_c_share_2yr,g_c_share_3yr,g_1b_share_2yr,g_1b_share_3yr,g_cf_share_1yr,g_cf_share_3yr,g_dh_share_1yr,g_dh_share_3yr,g_cof_share_1yr,g_cof_share_2yr,g_cof_share_3yr,pc_0,pc_1,pc_2,pc_3,pc_4,waa_pg,is_train
1158,0.9686558327056871,-0.09340605977684746,-1.095297843978613,-1.453204413523747,0.0013235120390473608,0.4476079365427824,0.6636377748724247,0.2662943598792313,0.14862029681608743,-1.4839043310065692,0.027843475464970815,-3.115610168615458,-1.2414439781559512,-0.5278835633287263,-0.983114556067088,0.19166454541385722,0.07255809502923352,0.7071052193543128,2.0310271389345083,-1.4175461563687135,-0.37711105932525274,0.0810883777336458,-1.2085150640014797,0.6863331225994863,-0.11283778264350564,-2.609028393371965,-0.23941884415206094,-0.2078368734041433,-0.21244549873582122,-0.21941925958533576,-0.0006447700025120408,0.23616364655453123,-0.4163266486434503,-0.4394491443566915,-0.12798002880887052,1.6536178902968024,0.06732833700089932,0.8882425021857381,-0.5014452740180346,-0.1909521027938342,0.9749308657197738,1.5439977810913945,-0.33697806706952976,-0.25934756830693084,-0.0121192052980132,1.0
1640,-0.6369213049449379,-1.0058665062219219,0.6882701540828866,0.8739436098042286,0.1753284171886599,-3.440593782785269,0.7378341870416378,0.35943884992625896,0.2482078774893051,-0.5158184477353311,0.3525648675777263,-0.07504235984488287,1.0955533095022398,1.1393406677675861,1.1285138924474851,0.6860370583451123,-0.5639342181300929,0.6833505553485246,0.42969945100608403,0.21716272958589505,0.09622091834865856,-1.125898219976768,-1.2054027798023184,-0.8766159557871355,0.14724605583417674,-0.03542389933421365,0.6110212280682928,-0.2078368734041433,-0.21244549873582122,-0.21941925958533576,2.4794765511300874,2.5500857703249715,-0.4163266486434503,-0.4394491443566915,-0.19386902330113037,-0.2041075916945182,-0.6260988593646657,-0.6306843986571583,-0.6368868763657511,-0.32201782522912725,-0.49661602839019076,1.418617458929484,0.6493607752368421,2.4068892256342487,0.0291025641025641,1.0
2029,0.2996653586845933,-1.6141734705186381,0.973146444683936,0.07841885964293956,0.3991587812096063,-1.2490619046185492,-3.6397541309419355,0.35943884992625896,-4.5319959948251425,1.0124236831391111,-0.6597754724255304,-0.751403255937992,-1.0988712245377252,-0.7531996007627395,-0.9335110379889651,0.04331557659700727,1.0414588982253017,1.1378815403315752,-1.1205175941758658,2.3332465031821665,0.9882696455033433,1.4513393797382979,1.4809772970283068,1.6153884376617167,-1.0502848567019158,-0.1501790381012832,-0.7749179083188493,5.018071840264228,5.130461386276658,4.98228742295511,-0.4633539717063551,-0.4511977267059031,-0.4163266486434503,-0.4394491443566915,-0.008269943895795174,-0.2649032325905696,-0.6260988593646657,-0.6306843986571583,-0.6368868763657511,-0.6740544764003373,1.2229156253353015,-0.4537677509206716,-0.6383120384006097,1.109458917622026,0.0283999999999999,1.0
15,1.0355548801077965,1.1232078688165852,-0.7415751777114337,-0.02402486030486924,-0.2222045010440388,0.5889970899728934,1.0346198357184901,0.2662943598792313,0.2482078774893051,0.7627079764605624,0.8567657451861849,-0.24137832813732393,-0.46655407338043775,-0.2459301315028786,0.5484639171303574,0.526849053435825,0.2534947094276685,0.3756147949478149,1.4628496530448798,-1.1999719900263088,-0.9586621002707667,-0.7639801694039503,-0.8140928933768969,1.0967841890951702,0.7491825153412389,0.5252470409999624,0.23348942030692063,-0.2078368734041433,-0.21244549873582122,-0.21941925958533576,-0.4633539717063551,-0.4511977267059031,-0.4163266486434503,-0.4394491443566915,-0.2428074239013003,-0.08931333807712918,1.8507149085637233,1.7960704032506563,1.829477595371206,2.867788579223883,-2.8130802011098224,-0.02136874572083128,0.98833440875906,-0.25784936860137975,0.0019871794871794,1.0
2430,-0.9714165419554848,0.5149009045198688,0.5163508315216901,-0.41402591766366553,-0.017934305501629947,0.6596916666879489,-1.191272529357903,0.2662943598792313,0.2482078774893051,-0.6404565319697613,-0.8912991316570431,-0.3400382435246559,0.19198465905536713,0.5796462544278002,0.957192588793889,1.0458136780727587,0.09268383134635168,-0.7059724312766864,0.134746378392859,0.6087845854586369,-1.6017696183334769,-1.1008261813971298,-1.116732415325552,-1.1111564060233872,0.3354127723085622,-0.06790015201694961,0.5858524408842012,-0.2078368734041433,-0.21244549873582122,-0.21941925958533576,2.4794765511300874,2.355504142641407,-0.4163266486434503,-0.4394491443566915,-0.2875934753596377,-0.2649032325905696,-0.6260988593646657,-0.6306843986571583,-0.4587865016250531,0.1310809613400306,3.268288409179141,0.3435830403817017,-1.0152462603147097,2.5144510384169645,0.0092805755395683,1.0
1478,-1.2390127315639223,0.21074742237151067,-0.9028395079565839,-0.427901100522161,0.7158236560114796,0.023440476252449535,-0.07832634681970631,0.2662943598792313,0.2482078774893051,-1.2960696980272166,-0.6408755818760201,-0.6626603657784571,1.0186094711290279,0.019161427745582382,0.6568919321724388,1.0525966926798949,-0.42977748467107596,-0.4038313048525355,-0.6606885306840595,-0.8307581927901438,-1.708757020162928,-1.0375108137002453,-1.3109470662590392,-1.347634406447466,0.7329562509085846,-0.4310514946803655,0.905706427364877,-0.2078368734041433,-0.21244549873582122,-0.21941925958533576,2.4794765511300874,2.5695746242017954,-0.4163266486434503,-0.4394491443566915,-0.2875934753596377,-0.2649032325905696,-0.6260988593646657,-0.6306843986571583,-0.6368868763657511,-0.11778179766331187,1.6366699300587233,0.5586418854570794,-0.32633062290108733,1.7795808324185058,0.0001973684210526,1.0
1530,0.09896821647826519,-1.31001998837028,-0.35743932700655007,-2.0905660927858514,-1.6212506829826347,0.09413505296750502,0.2926557140263592,0.2662943598792313,0.2482078774893051,1.0124236831391111,0.5230841249264515,0.8086114978883322,0.12964614782355965,-0.7940059142878718,-2.0335830712263987,-1.6358537855600557,-0.6888269316315894,0.3529515945953707,1.3019003530906617,0.45028504097519967,-0.8219848783862218,0.6950917258650323,0.5785627007200901,-0.26745017673486404,-0.8714156448700816,0.5559752315330154,-0.07900094267872325,-0.2078368734041433,-0.21244549873582122,-0.21941925958533576,-0.4633539717063551,-0.4511977267059031,2.6926315744393587,2.630808205373825,-0.2875934753596377,-0.2649032325905696,-0.6260988593646657,-0.6306843986571583,-0.6368868763657511,2.9685287928195754,-0.9434882310183345,-0.5583019527556167,-0.2159646342201159,-1.0679868458203352,-0.0064035087719298,1.0
2396,0.6341605956951402,-1.0058665062219219,-0.3877944851992108,0.036672825427208774,-0.5977729718468446,0.37691335982772695,-0.597701232004198,0.2662943598792313,0.2482078774893051,0.09556150980976279,-1.9610329367593848,-0.2389776316883758,-0.2601782767226456,0.16496653280934162,0.5195544745102743,-0.22005728066008545,-1.5500171207436386,-0.5606047562899377,-0.6165389945233692,-0.8291057521915709,-0.4578043648873096,0.7013276884439716,0.7033631537164878,1.493564969602201,0.35265317826825593,-2.1630040519981812,0.08234422990140283,-0.2078368734041433,-0.21244549873582122,-0.21941925958533576,-0.4633539717063551,-0.14912049161513324,-0.4163266486434503,-0.4394491443566915,-0.17253337567805493,-0.2649032325905696,-0.6260988593646657,-0.6306843986571583,-0.5830327154322543,-1.5754614030490055,5.927178092277559,-3.2812759695869853,1.830266763965149,0.586943358300185,0.0225657894736842,1.0
583,-0.03482987832595356,-0.7017130240735637,0.7450365449072335,-0.14474764039018578,2.00565449554544,0.4476079365427824,0.812030599210851,0.2662943598792313,0.2482078774893051,-0.27875344292457593,0.014201756604215018,-0.7812425683497168,0.37804971459810804,1.0434315039623248,0.1509619009874137,1.9059998670438596,-0.1951326960342582,1.8389450925710276,0.7472836791197146,-0.062373314453553645,-0.4461386394026994,-1.0550972394100313,-1.144713237918658,-0.5300124465625398,0.6112592676636792,-0.4776093591243911,0.42172545498373126,-0.2078368734041433,-0.21244549873582122,-0.21941925958533576,2.4794765511300874,2.5695746242017954,-0.4163266486434503,-0.4394491443566915,-0.2875934753596377,-0.2649032325905696,-0.6260988593646657,-0.6306843986571583,-0.6368868763657511,-0.1291544418483731,-0.8470109504894239,0.7133706958267818,0.7387802871557702,1.1411984496902752,0.01375,1.0
152,-0.9045174945533754,-0.09340605977684746,-1.0572092037927117,-1.611121610281249,-0.5856465572290008,0.4476079365427824,0.6636377748724247,0.2662943598792313,0.14862029681608743,0.10756918559541327,0.5283896213558528,0.7360992707791728,0.29400866742854076,0.18247001875552848,-0.39142249151691383,-0.2967530804111746,-1.2340955686334654,-0.41215865527109824,-0.3696077954590169,-1.0272312882635515,-1.5801631692464517,-1.6595319651571092,-1.3687977002583294,0.26547300242648364,0.042325870993747815,0.9349562481073999,0.387416424032785,-0.2078368734041433,-0.21244549873582122,-0.21941925958533576,-0.12595938947032992,0.7677104148884315,-0.4163266486434503,-0.40353970166978503,4.280583773390801,1.0025614445698001,-0.010839388350607174,0.43183633643243213,0.49478535533619045,0.8709715772171722,-1.5315042355701796,1.5539194888399097,0.8151717018673257,1.409406567725243,0.0087037037037037,1.0
