,year_id,opprpg_1yr,opprpg_2yr,opprpg_3yr
5416,-0.9415370947135008,-0.5044823220661758,0.3004692389217748,-1.0717441063153106
2253,0.23577915350305415,0.8976807571453707,0.5192496240797004,0.5394357273739598
4487,-1.4647887605875252,-0.4872440042983699,-0.8604002930414361,-2.4747642813962853
723,-0.7453177200107416,-0.8911903159916076,0.19142096701620126,0.7152155405856127
3970,1.21687602701685,-0.6834362919390266,-0.0956947070088665,0.22882997217690204
4768,0.9552501940798377,1.0697545494813172,1.2208952687773997,0.7403234328430993
533,-1.268569385884766,-0.7363775680047108,-1.326193941817047,-1.267374386204116
4492,0.4319985282058133,1.3559114891944675,0.45880293360572594,0.4918486556491547
3322,-0.8107241782449947,-1.03259957855576,-0.5082708452621374,-1.0089743756715963
2524,1.6747212346566214,0.3714279762478502,0.6716729756950833,0.21428606589859178
3352,-0.28747251237097027,-0.1258463156444057,1.2544034947694376,0.5447177203635469
766,-0.35287897060522333,1.2567306797744733,0.5304108917752972,0.41121841847785473
4958,-0.8107241782449947,0.1723936917825578,0.6999058541548451,-0.4637498620997925
1785,0.8898437358455846,1.0891871119901317,0.3247700296375743,0.6266745976345575
3275,-1.0723500111820068,-1.121042651512549,-0.2973790584973839,-0.7789988576458384
4399,1.5439083181881152,0.17573210636740538,-0.4839700545463379,-1.0453095739581144
4484,-1.6610081352902843,-1.509743728772218,-0.8295297408155352,-0.9812132032146884
3613,0.4319985282058133,1.3559114891944697,0.45880293360572594,0.4918486556491547
5201,0.8244372776113316,0.7165552691127528,1.444926578562356,0.5110112348671979
4699,0.17037269526880108,0.5068081617259346,0.5251599671482664,0.7786731586884365
402,0.8898437358455846,1.0891871119901317,0.3247700296375743,0.9903218529468092
0,-1.8572275099930435,-1.0111490191710288,-1.4950539086603027,0.2162760260481587
3281,-1.399382302353272,-1.3824106172561195,-0.6173191171677109,-0.83054128226052
2851,-0.6145048035422356,-0.809424072204516,-0.8755180713862405,-1.3209067709683646
3210,1.1514695687825969,-0.12048990418364385,0.21638117617353614,0.5552817063427254
3656,1.1514695687825969,0.043042583390543815,0.9219589086151998,0.7079435874464587
3564,0.4319985282058133,1.3559114891944675,0.45880293360572594,0.4918486556491547
172,0.36659206997156024,0.4451471460729616,0.4778527996944926,1.7219781448467353
1796,0.03955977880029499,0.7554453076720614,-0.23693236802340942,0.14620977485603512
2906,-0.5490983453079825,-0.9153066243358823,-0.7710613056661646,-0.8695297607464606
297,1.5439083181881152,0.1831065147040838,-0.2842395354771811,-0.6957153402751173
4737,0.10496623703454804,2.043500325964727,0.7629902183949565,-0.22716571098473706
1358,1.282282485251103,-0.349021821995652,0.03965703384235146,0.07616809107316669
4877,0.49740498644006637,2.213061890624983,2.1327732817983214,1.5366760038082687
14,0.8898437358455846,1.138770489803759,0.3247700296375743,0.6266745976345575
5093,-0.6799112617764886,-0.9159792899611885,-1.3242401093976863,0.2037220799194154
391,1.21687602701685,0.01758094379565884,0.06461724299968634,0.938582425522075
3065,0.23577915350305415,0.6609482440875273,0.5192496240797004,0.5394357273739598
