,waa_pg
2021,-0.0190082644628099
2334,-0.0045081967213114
167,-0.0145806451612903
1070,0.0119402985074626
4349,-0.0021192052980132
204,-0.0031578947368421
5277,0.0302797202797202
3465,0.0121167883211678
1468,0.0083739837398374
841,-0.0048447204968944
5732,-0.0008196721311475
719,-0.0034057971014492
5655,0.01984375
2656,0.0082165605095541
3464,0.012125
365,0.0210126582278481
473,0.0451851851851851
1310,-0.0117721518987341
1626,0.010314465408805
189,0.0158041958041958
1735,0.0024264705882352
5400,0.0347540983606557
2011,0.0009523809523809
5583,0.0205479452054794
4311,0.006979865771812
3678,-0.0153684210526315
5366,-0.0089166666666666
1617,0.0006474820143884
2283,0.0113846153846153
4803,-0.0028695652173913
5076,0.0007432432432432
683,-0.0178014184397163
1249,-0.0001369863013698
3061,0.0108
2915,0.0008029197080291
2977,-0.0129801324503311
612,0.004757281553398
2058,0.0027450980392156
4205,-0.013578947368421
5189,-0.0101315789473684
2429,0.0039370078740157
2026,-0.0143119266055045
521,0.040258064516129
2243,0.0075
2468,0.0196794871794871
3046,-0.0034146341463414
4234,0.0024285714285714
3718,0.0172499999999999
4949,0.0274842767295597
2789,0.0008633093525179
5785,0.0086363636363636
5685,-0.0323148148148148
4652,0.0109848484848484
5504,0.0226356589147286
4541,-0.0174242424242424
874,0.0074496644295302
5386,0.0015942028985507
2418,0.0014851485148514
4844,0.0216935483870967
1442,-0.0212857142857142
4775,0.0085925925925925
5533,-0.0002362204724409
3950,0.0024324324324324
4428,0.0088811188811188
187,-0.0122222222222222
5095,0.0038888888888888
1829,-0.0020661157024793
3117,0.0390225563909774
96,-0.0056953642384105
973,-0.003076923076923
5157,-0.0079054054054054
2834,0.0114685314685314
5610,-0.0019565217391304
3160,0.0016911764705882
2815,0.0397435897435897
4523,0.0095569620253164
3447,0.0221794871794871
5740,-0.0158870967741935
5160,-0.0057432432432432
1262,0.0161290322580645
824,-0.0056962025316455
4373,0.0105607476635514
4810,0.01504
48,0.0203870967741935
201,0.0108737864077669
4329,0.0093023255813953
4585,-0.0097278911564625
2863,-0.0124516129032258
2706,-0.0038815789473684
5153,0.0238135593220338
1817,-0.0158333333333333
2729,0.0035664335664335
2558,0.01
4443,-0.0007627118644067
2162,0.0261688311688311
4346,0.0025
367,0.028282208588957
2649,-0.0037692307692307
642,0.0416233766233766
2970,-0.0127857142857142
4725,0.0013157894736842
1687,0.0335443037974683
5323,0.0376521739130434
3017,-0.0066
723,-0.0065454545454545
3022,6.622516556291391e-05
4872,-0.0281981981981981
533,0.0365408805031446
4587,-0.0305454545454545
5708,0.0054729729729729
2655,0.0192666666666666
5186,0.0073103448275862
766,-0.0111875
3394,0.0226490066225165
3282,0.00552
5053,0.0275324675324675
1596,-0.0043442622950819
4874,0.005754716981132
4579,0.0008695652173913
1332,0.0135135135135135
4180,-0.0046923076923076
5317,-0.0133999999999999
4802,0.0161320754716981
402,0.0205590062111801
0,0.036
2433,0.0172992700729927
1387,-0.004921875
1313,0.0073202614379084
2320,0.0027142857142857
4141,-0.00177304964539
3878,0.0080645161290322
172,-0.0086290322580645
1306,-0.0248275862068965
2962,0.0182236842105263
297,0.0134513274336283
4841,-0.012
4154,-0.000551724137931
4986,-0.0133057851239669
14,0.0090123456790123
3990,-0.0219696969696969
391,0.000377358490566
5620,0.0015753424657534
2823,-0.0032846715328467
4517,0.0008783783783783
1787,0.0178461538461538
867,0.0088607594936708
1075,0.0189743589743589
5474,-0.0084426229508196
581,-0.0188489208633093
4659,-0.0053658536585365
1837,-0.0206153846153846
2455,-0.0055102040816326
2187,-0.0061538461538461
108,-0.0077070063694267
4892,0.0225490196078431
2576,0.0134591194968553
1529,-0.0134042553191489
2697,0.031625
2340,0.0011678832116788
2927,-0.0255
859,0.0216875
196,-0.0045744680851063
3512,-0.0159055118110236
3427,-0.0032413793103448
3093,0.0309493670886075
644,0.0235955056179775
1672,0.0025
435,0.0244375
2923,0.0035333333333333
5064,0.0221476510067114
4796,0.0012179487179487
